#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACHE	APP	9606.ENSP00000303211	9606.ENSP00000284981	0	0	0	0	0.092	0.801	0	0.759	0.952
PPARG	TGFB1	9606.ENSP00000287820	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.580	0.956
PPARG	TP53	9606.ENSP00000287820	9606.ENSP00000269305	0	0	0	0	0	0.292	0.650	0.719	0.924
PPARG	RXRG	9606.ENSP00000287820	9606.ENSP00000352900	0	0	0	0.702	0	0.472	0.900	0.496	0.952
PPARG	TNF	9606.ENSP00000287820	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.807	0.979
PPARG	RXRA	9606.ENSP00000287820	9606.ENSP00000419692	0	0	0	0.694	0.062	0.981	0.900	0.990	0.998
PPARG	RELA	9606.ENSP00000287820	9606.ENSP00000384273	0	0	0	0	0	0.768	0.900	0.984	0.999
PRKACA	RELA	9606.ENSP00000309591	9606.ENSP00000384273	0	0	0	0	0.069	0.767	0.900	0.043	0.976
PRKCB	RAF1	9606.ENSP00000305355	9606.ENSP00000251849	0	0	0	0.569	0	0.061	0.900	0.252	0.911
PRKCB	STAT5B	9606.ENSP00000305355	9606.ENSP00000293328	0	0	0	0	0.069	0	0.900	0.155	0.914
PRKCB	RELA	9606.ENSP00000305355	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.322	0.929
PTEN	TP53	9606.ENSP00000361021	9606.ENSP00000269305	0	0	0	0	0	0.851	0.900	0.986	0.999
PTGES2	PTGS2	9606.ENSP00000345341	9606.ENSP00000356438	0	0	0	0	0	0	0.900	0.733	0.972
PTGES2	PTGS1	9606.ENSP00000345341	9606.ENSP00000354612	0	0	0	0	0	0	0.900	0.797	0.978
PTGS2	TP53	9606.ENSP00000356438	9606.ENSP00000269305	0	0	0	0	0	0.874	0	0.958	0.994
RAF1	SCNN1A	9606.ENSP00000251849	9606.ENSP00000353292	0	0	0	0	0	0.056	0.900	0	0.901
RAF1	RASA1	9606.ENSP00000251849	9606.ENSP00000274376	0	0	0	0	0.063	0	0.900	0.513	0.950
RELA	SIRT1	9606.ENSP00000384273	9606.ENSP00000212015	0	0	0	0	0	0.684	0.800	0.981	0.998
RELA	TGFB1	9606.ENSP00000384273	9606.ENSP00000221930	0	0	0	0	0.083	0	0.900	0.298	0.930
RELA	TP53	9606.ENSP00000384273	9606.ENSP00000269305	0	0	0	0	0.062	0.451	0	0.964	0.980
RELA	STAT4	9606.ENSP00000384273	9606.ENSP00000376134	0	0	0	0	0.049	0	0.900	0.347	0.932
RELA	TNF	9606.ENSP00000384273	9606.ENSP00000398698	0	0	0	0	0	0.501	0.900	0.824	0.990
RXRA	RXRG	9606.ENSP00000419692	9606.ENSP00000352900	0	0	0	0.971	0	0.273	0.900	0.834	0.926
RXRA	TOP2B	9606.ENSP00000419692	9606.ENSP00000396704	0	0	0	0	0.072	0	0.900	0.160	0.915
RXRA	TNF	9606.ENSP00000419692	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.328	0.930
SELE	VCAM1	9606.ENSP00000331736	9606.ENSP00000294728	0	0	0	0	0.122	0	0	0.916	0.924
SIRT1	TP53	9606.ENSP00000212015	9606.ENSP00000269305	0	0	0	0	0.062	0.884	0.900	0.989	0.999
SOD1	STAT4	9606.ENSP00000270142	9606.ENSP00000376134	0	0	0	0	0	0	0.900	0.064	0.902
TNF	VCAM1	9606.ENSP00000398698	9606.ENSP00000294728	0	0	0	0	0	0	0.900	0.884	0.987
TOP1	TP53	9606.ENSP00000354522	9606.ENSP00000269305	0	0	0	0	0.065	0.735	0	0.970	0.991
TOP1	TOP2B	9606.ENSP00000354522	9606.ENSP00000396704	0	0	0	0	0.087	0.904	0	0.810	0.982
TOP1	TOP2A	9606.ENSP00000354522	9606.ENSP00000411532	0	0	0	0	0.111	0.919	0	0.919	0.993
